jurisdiction,iso,provider,status,group
Tunisia,TN,Cohere,✓,non-sanctioned importer
UAE,AE,OpenAI API,✓,non-sanctioned importer
UAE,AE,ChatGPT,✓,non-sanctioned importer
UAE,AE,Anthropic,✓,non-sanctioned importer
UAE,AE,Gemini API,✓,non-sanctioned importer
UAE,AE,Azure OpenAI / MS Foundry,✓,non-sanctioned importer
UAE,AE,AWS Bedrock,✓,non-sanctioned importer
UAE,AE,OpenRouter,partial,non-sanctioned importer
UAE,AE,Mistral,✓,non-sanctioned importer
UAE,AE,Cohere,✓,non-sanctioned importer
Yemen,YE,OpenAI API,✓,sanctioned/conflict-affected
Yemen,YE,ChatGPT,✓,sanctioned/conflict-affected
Yemen,YE,Anthropic,✗,sanctioned/conflict-affected
Yemen,YE,Gemini API,✓,sanctioned/conflict-affected
Yemen,YE,Azure OpenAI / MS Foundry,✓,sanctioned/conflict-affected
Yemen,YE,AWS Bedrock,✓,sanctioned/conflict-affected
Yemen,YE,OpenRouter,partial,sanctioned/conflict-affected
Yemen,YE,Mistral,✓,sanctioned/conflict-affected
Yemen,YE,Cohere,✓,sanctioned/conflict-affected
Sudan,SD,OpenAI API,✓,sanctioned/conflict-affected
Sudan,SD,ChatGPT,✓,sanctioned/conflict-affected
Sudan,SD,Anthropic,✓,sanctioned/conflict-affected
Sudan,SD,Gemini API,✓,sanctioned/conflict-affected
Sudan,SD,Azure OpenAI / MS Foundry,✗,sanctioned/conflict-affected
Sudan,SD,AWS Bedrock,UNKNOWN,sanctioned/conflict-affected
Sudan,SD,OpenRouter,partial,sanctioned/conflict-affected
Sudan,SD,Mistral,✓,sanctioned/conflict-affected
Sudan,SD,Cohere,✓,sanctioned/conflict-affected
Syria,SY,OpenAI API,✗,sanctioned/conflict-affected
Syria,SY,ChatGPT,✗,sanctioned/conflict-affected
Syria,SY,Anthropic,✗,sanctioned/conflict-affected
Syria,SY,Gemini API,✗,sanctioned/conflict-affected
Syria,SY,Azure OpenAI / MS Foundry,✗,sanctioned/conflict-affected
Syria,SY,AWS Bedrock,✗,sanctioned/conflict-affected
Syria,SY,OpenRouter,UNKNOWN,sanctioned/conflict-affected
Syria,SY,Mistral,✗,sanctioned/conflict-affected
Syria,SY,Cohere,UNKNOWN,sanctioned/conflict-affected
Iran,IR,OpenAI API,✗,sanctioned/conflict-affected
Iran,IR,ChatGPT,✗,sanctioned/conflict-affected
Iran,IR,Anthropic,✗,sanctioned/conflict-affected
Iran,IR,Gemini API,✗,sanctioned/conflict-affected
Iran,IR,Azure OpenAI / MS Foundry,✗,sanctioned/conflict-affected
Iran,IR,AWS Bedrock,✗,sanctioned/conflict-affected
Iran,IR,OpenRouter,UNKNOWN,sanctioned/conflict-affected
Iran,IR,Mistral,✗,sanctioned/conflict-affected
Iran,IR,Cohere,UNKNOWN,sanctioned/conflict-affected
